,RegionID,RegionName,City,State,Metro,CountyName,Lat,Lng
29,403401,Mt. Paran Pkwy,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.8759213,-84.41762000000001
30,131132,Princeton Lakes,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.6610546,-84.514354
31,403400,Mt. Paran - Northside,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.8701303,-84.42678339999999
32,127281,Bolton,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.8142719,-84.45326279999999
33,269425,Ridgedale Park,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.8521716,-84.3522332
34,126858,Ansley Park,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.794558,-84.3790372
35,399509,Atlantic Station,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.7912543,-84.3987406
36,129333,Hills Park,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.8033553,-84.4415535
37,127432,Brookwood Hills,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.8098175,-84.3844304
38,403414,Peachtree Battle Alliance,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.8229966,-84.3988806
39,403156,Druid Hills,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.7803832,-84.3360359
40,269446,Tuxedo Park,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.8508195,-84.3988806
41,127423,Brookwood,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,34.0723216,-84.6621569
42,403402,West Paces Ferry - Northside,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.8477294,-84.4194164
43,269437,Springlake,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.813792,-84.4107008
44,403422,Ardmore,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,32.495181,-81.4287179
45,269408,Peachtree Park,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.8402463,-84.3667193
46,399510,Loring Heights,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.7961596,-84.403318
47,269311,East Chastain Park,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.8682434,-84.3844304
48,131360,Riverside,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.8151763,-84.47239
49,269405,Peachtree Heights East,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.8263949,-84.3818027
50,127516,Cabbagetown,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.7497918,-84.365377
51,403171,Midwest Cascade,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,33.7286368,-84.5300827
